breed,weight_kg,coat_length,coat_texture,coat_structure,matting_severity,behaviour,service,groomer_experience_years,actual_duration_minutes
COCKER_SPANIEL,1.98,MEDIUM,WAVY,SINGLE,MILD,VERY_BAD,FULL_GROOM_AND_CLIP,8.9,187
COCKER_SPANIEL,20.71,SHORT,SILKY,SINGLE,SEVERE,BAD,BATH_AND_DRY,8.8,131
COCKER_SPANIEL,30.59,SHORT,ROUGH,DOUBLE,MODERATE,OKAY,FULL_GROOM_AND_HAND_STRIP,3.2,231
LABRADOR_RETRIEVER,4.77,MEDIUM,SILKY,DOUBLE,NONE,GOOD,FULL_GROOM_AND_CLIP,14.6,133
LABRADOR_RETRIEVER,4.07,MEDIUM,ROUGH,DOUBLE,MILD,VERY_BAD,FULL_GROOM_AND_CLIP,9.9,196
COCKER_SPANIEL,34.79,MEDIUM,CURLY,DOUBLE,MODERATE,BAD,TIDY_UP,5.3,117
LABRADOR_RETRIEVER,28.37,LONG,ROUGH,SINGLE,MILD,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,2.5,162
COCKER_SPANIEL,27.7,SHORT,WAVY,SINGLE,MODERATE,GOOD,TIDY_UP,1.0,146
LABRADOR_RETRIEVER,9.29,MEDIUM,WIRY,DOUBLE,MILD,OKAY,FULL_GROOM_AND_HAND_STRIP,3.7,189
LABRADOR_RETRIEVER,36.02,MEDIUM,CURLY,SINGLE,MILD,VERY_GOOD,BATH_AND_DRY,1.4,86
COCKER_SPANIEL,34.58,SHORT,ROUGH,SINGLE,SEVERE,VERY_GOOD,FULL_GROOM_AND_CLIP,5.8,176
LABRADOR_RETRIEVER,38.87,SHORT,ROUGH,SINGLE,MODERATE,OKAY,FULL_GROOM_AND_CLIP,4.4,165
COCKER_SPANIEL,18.7,LONG,ROUGH,DOUBLE,MILD,VERY_GOOD,FULL_GROOM_AND_CLIP,13.1,174
COCKER_SPANIEL,6.96,SHORT,SILKY,SINGLE,MODERATE,GOOD,FULL_GROOM_AND_CLIP,1.7,185
LABRADOR_RETRIEVER,35.27,MEDIUM,WAVY,SINGLE,MILD,VERY_GOOD,FULL_GROOM_AND_CLIP,1.3,154
COCKER_SPANIEL,6.01,MEDIUM,SILKY,SINGLE,MODERATE,VERY_GOOD,BATH_AND_DRY,14.5,85
COCKER_SPANIEL,28.81,MEDIUM,ROUGH,DOUBLE,SEVERE,VERY_GOOD,BATH_AND_DRY,1.8,147
COCKER_SPANIEL,23.95,SHORT,SMOOTH,SINGLE,MILD,VERY_BAD,FULL_GROOM_AND_CLIP,12.9,193
COCKER_SPANIEL,21.05,MEDIUM,ROUGH,DOUBLE,MILD,VERY_GOOD,FULL_GROOM_AND_HAND_STRIP,10.9,220
COCKER_SPANIEL,31.6,MEDIUM,WAVY,SINGLE,NONE,GOOD,TIDY_UP,6.4,82
LABRADOR_RETRIEVER,34.69,SHORT,ROUGH,SINGLE,NONE,GOOD,TIDY_UP,12.0,88
LABRADOR_RETRIEVER,6.47,SHORT,CURLY,DOUBLE,MILD,VERY_BAD,BATH_AND_DRY,12.1,116
COCKER_SPANIEL,2.97,LONG,SMOOTH,SINGLE,MILD,BAD,BATH_AND_DRY,7.3,98
COCKER_SPANIEL,7.42,SHORT,WIRY,DOUBLE,SEVERE,OKAY,BATH_AND_DRY,10.4,140
